County,Agency Name,Crime Year to Date,Violent Crime Year to Date,Property Crime Year to Date,Other Crime Year to Date
Alachua,"Alachua County Sheriff's Office, Gainesville Police Department, University of Florida Police Department",1419.0,692.0,638.0,89.0
Baker,Baker County Sheriff's Office,179.0,25.0,35.0,119.0
Brevard,Palm Bay Police Department,1021.0,221.0,800.0,0.0
Broward,Coral Springs Police Department,942.0,38.0,381.0,523.0
Charlotte,Charlotte County Sheriff's Office,727.0,100.0,627.0,0.0
Collier,"Collier County Sheriff's Office, Marco Island Police Department",414.0,318.0,41.0,55.0
DeSoto,Desoto County Sheriff's Office,920.0,68.0,233.0,619.0
Duval,"Atlantic Beach Police Department, Duval County School Police Department, Jacksonville Aviation Authority PD, Jacksonville Sheriff's Office, Neptune Beach Police Department",4195.0,3648.0,245.0,302.0
Escambia,"Pensacola Police Department, University of West Florida Police Dept",603.0,37.0,277.0,289.0
Gulf,Gulf County Sheriff's Office,90.0,10.0,24.0,56.0
Hamilton,Hamilton County Sheriff's Office,213.0,29.0,81.0,103.0
Hendry,"Clewiston Police Department, Hendry County Sheriff's Office",249.0,26.0,31.0,192.0
Hernando,"City of Brooksville, Hernando County Sheriff's Office",1522.0,242.0,1079.0,201.0
Hillsborough,Tampa Police Department,987.0,987.0,0.0,0.0
Indian River,Vero Beach Police Department,28.0,0.0,11.0,17.0
Jefferson,Jefferson County Sheriff's Office,130.0,12.0,25.0,93.0
Lake,Leesburg Police Department,999.0,73.0,367.0,559.0
Leon,Florida State University Police Dept.,182.0,8.0,81.0,93.0
Manatee,Bradenton Police Department,894.0,212.0,682.0,0.0
Marion,Marion County Sheriff's Office,1351.0,406.0,945.0,0.0
Martin,Martin County Sheriff's Office,843.0,151.0,692.0,0.0
Miami-Dade,"Aventura Police Department, Doral Police Department, Miami Lakes Police Department, Miami Police Department, Miami-Dade Police Department, North Miami Beach Police Department, Palmetto Bay Police Department, South Miami Police Department, Town of Cutler Bay Police Dept.",8052.0,3046.0,2918.0,2088.0
Monroe,Monroe County Sheriff's Office,774.0,84.0,143.0,547.0
Okaloosa,Okaloosa County Sheriff's Office,293.0,15.0,172.0,106.0
Osceola,"Kissimmee Police Department, St. Cloud Police Department",2276.0,234.0,1257.0,785.0
Palm Beach,"Boynton Beach Police Department, North Palm Beach Police Department, Palm Beach County School District PD",2373.0,178.0,947.0,1248.0
Pinellas,"Belleair Beach Police Department, Belleair Bluffs Police Department, Belleair Police Department, City of Seminole, Dunedin Police Department, Indian Rocks Beach PD, Indian Shores Police Department, Largo Police Department, North Redington Beach PD, Oldsmar Police Department, Pinellas County Sheriff's Office, Redington Beaches Police Department, South Pasadena Police Department, St. Pete Beach Police Department, Tarpon Springs Police Department, Treasure Island Police Department",3197.0,313.0,2102.0,782.0
Putnam,"Crescent City Police Department, Palatka Police Department, Putnam County Sheriff's Office",1278.0,59.0,420.0,799.0
Santa Rosa,Gulf Breeze Police Department,45.0,0.0,9.0,36.0
Sarasota,Sarasota County Sheriff's Office,188.0,188.0,0.0,0.0
St. Johns,"St. Augustine Beach Police Department, St. Augustine Police Department, St. Johns County Sheriff's Office",931.0,67.0,367.0,497.0
Sumter,Wildwood Police Department,270.0,16.0,55.0,199.0
Taylor,Perry Police Department,246.0,20.0,77.0,149.0
