County,Agency Name,Crime Year to Date,Violent Crime Year to Date,Property Crime Year to Date,Other Crime Year to Date
Alachua,University of Florida Police Department,19.0,0.0,10.0,9.0
Baker,Baker County Sheriff's Office,617.0,54.0,196.0,367.0
Brevard,Palm Bay Police Department,424.0,424.0,0.0,0.0
Charlotte,Charlotte County Sheriff's Office,241.0,241.0,0.0,0.0
Collier,"Collier County Sheriff's Office, Marco Island Police Department",1076.0,851.0,104.0,121.0
Duval,"Atlantic Beach Police Department, Duval County School Police Department, Jacksonville Aviation Authority PD, Jacksonville Sheriff's Office, Neptune Beach Police Department",7996.0,7233.0,355.0,408.0
Gilchrist,Gilchrist County Sheriff's Office,47.0,4.0,17.0,26.0
Hamilton,Hamilton County Sheriff's Office,98.0,6.0,13.0,79.0
Hendry,"Clewiston Police Department, Hendry County Sheriff's Office",1067.0,84.0,242.0,741.0
Hernando,"City of Brooksville, Hernando County Sheriff's Office",1179.0,546.0,195.0,438.0
Hillsborough,Tampa Police Department,2230.0,2230.0,0.0,0.0
Marion,"Marion County Sheriff's Office, Ocala Police Department",1316.0,1316.0,0.0,0.0
Miami-Dade,"Aventura Police Department, Coral Gables Police Department, Doral Police Department, South Miami Police Department",2344.0,303.0,748.0,1293.0
Palm Beach,"North Palm Beach Police Department, West Palm Beach Police Department",1132.0,965.0,67.0,100.0
Pinellas,"Belleair Beach Police Department, Belleair Bluffs Police Department, Belleair Police Department, City of Seminole, Dunedin Police Department, Gulfport Police Department, Indian Rocks Beach PD, Indian Shores Police Department, Madeira Beach Police Department, North Redington Beach PD, Oldsmar Police Department, Pinellas County Sheriff's Office, Redington Beaches Police Department, Safety Harbor Police Department, South Pasadena Police Department, St. Pete Beach Police Department, Tarpon Springs Police Department, Treasure Island Police Department",6718.0,782.0,2374.0,3562.0
Sarasota,Sarasota County Sheriff's Office,409.0,409.0,0.0,0.0
St. Johns,St. Johns County Sheriff's Office,95.0,7.0,37.0,51.0
