data_year,groupb_arrestee_id,weapon_code,weapon_id
2022,48736913,01,51
2022,48740732,01,51
2022,48736845,01,51
2022,48736846,01,51
2022,48740893,01,51
2022,48749358,01,51
2022,48749360,01,51
2022,48749361,01,51
2022,46579622,01,51
2022,48736910,01,51
2022,48736914,01,51
2022,48736908,01,51
2022,48736909,01,51
2022,48740850,01,51
2022,48736847,01,51
2022,48740826,01,51
2022,48736849,01,51
2022,48749355,01,51
2022,48736925,01,51
2022,48740828,01,51
2022,48747733,01,51
2022,48749357,01,51
2022,48749359,01,51
2022,48749364,01,51
2022,48749365,01,51
2022,48749366,01,51
2022,48749362,01,51
2022,48736928,01,51
2022,48736920,01,51
2022,48736921,01,51
2022,48736930,01,51
2022,48736839,01,51
2022,48749739,01,51
2022,48749397,01,51
2022,48749396,01,51
2022,48749398,01,51
2022,48749842,01,51
2022,48749806,01,51
2022,48749805,01,51
2022,48736813,01,51
2022,48736929,01,51
2022,48736927,01,51
2022,48749660,01,51
2022,48749620,01,51
2022,48749714,01,51
2022,48749727,01,51
2022,48749730,01,51
2022,48749737,01,51
2022,48749719,01,51
2022,48749721,01,51
2022,48749840,01,51
2022,48736924,01,51
2022,48736872,01,51
2022,48736923,01,51
2022,48736838,01,51
2022,48740735,01,51
2022,48748376,01,51
2022,48736816,01,51
2022,48736926,01,51
2022,48749844,01,51
2022,48749845,01,51
2022,48736800,01,51
2022,48736801,01,51
2022,48736802,01,51
2022,48736803,01,51
2022,48736820,01,51
2022,48736922,01,51
2022,48740726,01,51
2022,48736860,01,51
2022,48736837,01,51
2022,48736804,01,51
2022,48736805,01,51
2022,48736806,01,51
2022,48736807,01,51
2022,48736809,01,51
2022,48736810,01,51
2022,48736814,01,51
2022,48736817,01,51
2022,48736818,01,51
2022,48736871,01,51
2022,48736879,01,51
2022,48736819,01,51
2022,48736821,01,51
2022,48736859,01,51
2022,48736864,01,51
2022,48736865,01,51
2022,48736866,01,51
2022,48736857,01,51
2022,48736861,01,51
2022,48736862,01,51
2022,48736863,01,51
2022,48736867,01,51
2022,48736868,01,51
2022,48736869,01,51
2022,48748368,01,51
2022,48736878,01,51
2022,48736870,01,51
2022,48736880,01,51
2022,48736933,01,51
2022,48736932,01,51
2022,48737508,01,51
2022,48736883,01,51
2022,48736934,01,51
2022,48740062,01,51
2022,48740713,01,51
2022,48740715,01,51
2022,48739589,01,51
2022,48739902,01,51
2022,48740716,01,51
2022,48740769,01,51
2022,48736881,01,51
2022,48736882,01,51
2022,48736884,01,51
2022,48736885,01,51
2022,48736886,01,51
2022,48736887,01,51
2022,48736935,01,51
2022,48739448,01,51
2022,48739492,01,51
2022,48739984,01,51
2022,48740712,01,51
2022,48740719,01,51
2022,48740727,01,51
2022,48740729,01,51
2022,48740723,01,51
2022,48740724,01,51
2022,48740720,01,51
2022,48740721,01,51
2022,48740725,01,51
2022,48740728,01,51
2022,48740730,01,51
2022,48740731,01,51
2022,48740740,01,51
2022,48740743,01,51
2022,48740807,01,51
2022,48740737,01,51
2022,48740738,01,51
2022,48740742,01,51
2022,48740733,12,3
2022,48740734,01,51
2022,48740739,01,51
2022,48740741,01,51
2022,48740744,01,51
2022,48740745,01,51
2022,48740812,01,51
2022,48740748,11,1
2022,48740750,01,51
2022,48740756,01,51
2022,48740757,01,51
2022,48740762,01,51
2022,48740746,01,51
2022,48740749,12,3
2022,48740754,01,51
2022,48740759,01,51
2022,48740747,01,51
2022,48740751,01,51
2022,48740752,01,51
2022,48740753,01,51
2022,48740758,01,51
2022,48740761,01,51
2022,48740763,01,51
2022,48740765,01,51
2022,48533182,01,51
2022,47983220,01,51
2022,47983219,01,51
2022,47983223,01,51
2022,47983224,01,51
2022,47983218,01,51
2022,47983250,01,51
2022,47983251,01,51
2022,47983254,01,51
2022,47983255,01,51
2022,47983257,01,51
2022,47983258,01,51
2022,47983221,01,51
2022,47983222,01,51
2022,47983225,01,51
2022,47983228,01,51
2022,47983229,01,51
2022,47983226,01,51
2022,47983227,01,51
2022,47983230,01,51
