data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,201763313,
2022,41,201782661,
2022,41,201842118,
2022,41,201840451,
2022,38,201783196,
2022,41,201783197,
2022,32,201782951,
2022,41,201782958,
2022,3,201782982,
2022,41,201782375,
2022,41,201783097,
2022,3,201782540,
2022,1,201848033,
2022,42,197446946,
2022,9,201782474,
2022,41,197447188,
2022,41,197447187,
2022,41,197447189,
2022,41,197447191,
2022,41,197447196,
2022,32,197436370,
2022,21,201840244,
2022,5,201782541,
2022,41,201843712,
2022,41,197447201,
2022,38,197447203,
2022,41,197447205,
2022,41,197447206,
2022,41,197447212,
2022,42,201781913,
2022,41,201849517,
2022,41,197447222,
2022,41,197447234,
2022,42,201775140,
2022,42,201782256,
2022,39,201781881,
2022,41,197436372,
2022,41,197447247,
2022,41,197447249,
2022,42,197447250,
2022,42,201781926,
2022,42,197447261,
2022,42,197447262,
2022,41,197447263,
2022,38,197447269,
2022,41,197447272,
2022,1,197447277,
2022,42,201782007,
2022,41,197447289,
2022,41,197436381,
2022,21,201843704,
2022,42,197436383,
2022,41,197447294,
2022,42,197447297,
2022,41,197447298,
2022,41,197447299,
2022,41,197447301,
2022,41,197447304,
2022,41,197447305,
2022,41,197436384,
2022,42,201782065,
2022,41,201782067,
2022,42,201843724,
2022,41,197447310,
2022,41,197447311,
2022,21,197447322,
2022,1,197447324,
2022,42,197447328,
2022,41,197447325,
2022,31,197447329,
2022,42,197447326,
2022,41,197447338,
2022,41,197447337,
2022,41,197447344,
2022,42,197447345,
2022,41,197447351,
2022,41,197436390,
2022,41,197447355,
2022,41,197447359,
2022,41,197447360,
2022,41,197447369,
2022,41,197447366,
2022,41,201843193,
2022,41,190986407,
2022,41,197447373,
2022,41,197447374,
2022,41,197447375,
2022,41,197447376,
2022,1,197436395,
2022,41,197447434,
2022,41,197447435,
2022,41,197447436,
2022,41,197447445,
2022,42,197447446,
2022,41,197447449,
2022,38,197447456,
2022,41,197447457,
2022,32,197447458,
2022,41,197447459,
2022,41,197436396,
2022,41,197447460,
2022,41,197447462,
2022,41,197447466,
2022,41,197447467,
2022,41,197447473,
2022,41,197447476,
2022,41,197447480,
2022,41,197447481,
2022,41,197441468,
2022,41,197447379,
2022,41,197447385,
2022,42,197447387,
2022,41,201848432,
2022,41,197447391,
2022,41,197447392,
2022,38,197447394,
2022,41,197447398,
2022,41,197447399,
2022,41,197447400,
2022,41,197447401,
2022,41,197447402,
2022,41,197447405,
2022,41,197447408,
2022,41,190986369,
2022,41,197447414,
2022,41,197447422,
2022,41,197447425,
2022,41,197447523,
2022,41,197451177,
2022,41,197447531,
2022,41,197451179,
2022,41,197447532,
2022,41,197447540,
2022,7,197447546,
2022,41,197447551,
2022,41,197447563,
2022,41,197447566,
2022,41,197447564,
2022,41,197451181,
2022,41,197447572,
2022,41,197447573,
2022,41,197447578,
2022,41,197447582,
2022,41,197447590,
2022,38,197447592,
2022,21,197447593,
2022,41,197447601,
2022,41,197447603,
2022,41,197447604,
2022,41,197447611,
2022,42,201782394,
2022,41,197447613,
2022,41,197447617,
2022,42,197447621,
2022,41,201782069,
2022,41,197447622,
2022,41,201784419,
2022,41,197447637,
2022,41,197447645,
2022,21,197447641,
2022,41,197447647,
2022,41,197447652,
2022,42,197447649,
2022,41,197436409,
2022,1,197447655,
2022,41,197447658,
2022,5,197447654,
2022,41,197447663,
2022,41,197447662,
2022,42,197447667,
2022,41,197447668,
2022,42,190984919,
2022,41,197447688,
2022,38,197447689,
2022,41,197447692,
2022,41,197447693,
2022,41,197447695,
2022,42,197447697,
2022,41,197447698,
2022,41,197447699,
2022,41,197447700,
2022,41,197449873,
2022,42,197447710,
2022,41,197447714,
2022,38,197447714,
2022,41,197447715,
2022,41,197447723,
2022,41,197447726,
2022,31,197447727,
2022,41,197447727,
2022,41,197447729,
2022,41,197447728,
2022,41,197447730,
2022,41,197447733,
2022,41,197447732,
2022,41,197447746,
2022,41,197447747,
2022,31,197447756,
2022,41,197447759,
2022,1,197447762,
2022,41,197447761,
2022,41,197447760,
2022,41,197447763,
2022,38,197447768,
2022,41,197447775,
2022,1,197436414,
2022,42,197449968,
2022,41,197447778,
2022,41,197447780,
2022,42,197447779,
2022,41,197447784,
2022,41,197447786,
2022,21,197447797,
2022,37,201782071,
2022,41,197447805,
2022,1,197436416,
2022,41,201848895,
2022,41,197447809,
2022,38,197447809,
2022,38,201763846,
2022,41,197447812,
2022,41,197447813,
2022,3,201763292,
2022,41,201783285,
2022,31,197447824,
2022,41,197447825,
2022,41,197447828,
2022,41,201763662,
2022,21,197447834,
2022,1,197447840,
2022,21,201763296,
2022,41,197447842,
2022,42,201783245,
2022,41,197447849,
2022,41,201848104,
2022,41,197447850,
2022,41,197447851,
2022,41,197447852,
2022,41,197447854,
2022,9,201763672,
2022,41,197447862,
2022,41,197447861,
2022,3,201763300,
2022,41,201763911,
2022,41,201763916,
2022,41,201763908,
2022,41,201763310,
2022,41,201763283,
2022,21,201763466,
2022,41,201763282,
2022,3,201763320,
2022,21,201763346,
2022,41,201763373,
2022,41,201763444,
2022,41,197447863,
2022,41,197447864,
2022,41,197447865,
2022,42,197447872,
2022,41,197447881,
2022,41,197447885,
2022,41,197447886,
2022,41,197447891,
2022,41,197447894,
2022,38,197447897,
2022,41,201847836,
2022,41,201763376,
2022,41,201782211,
2022,21,201763397,
2022,41,201763366,
2022,31,201781677,
2022,41,201763369,
2022,41,201763374,
2022,1,201782368,
2022,1,201782369,
2022,41,201763378,
2022,41,201763684,
2022,41,201763425,
2022,42,201763420,
2022,41,201763448,
2022,38,201763451,
2022,3,201763433,
2022,41,201763436,
2022,42,201763438,
2022,41,201763468,
2022,42,201763578,
2022,39,201763490,
2022,42,201763502,
2022,42,201763528,
2022,41,201763504,
2022,41,201763505,
2022,41,201763547,
2022,41,201763549,
2022,41,201763550,
2022,41,201763554,
2022,3,201763558,
2022,41,201763556,
2022,41,201763679,
2022,41,201763673,
2022,42,201763582,
2022,42,201763594,
2022,42,201763595,
2022,41,201763646,
2022,41,201763858,
2022,41,201763647,
2022,42,201763727,
2022,41,201782196,
2022,41,201763660,
2022,3,201763690,
2022,41,201763665,
2022,31,201763982,
2022,39,201763855,
2022,41,201763677,
2022,42,201763683,
2022,42,201763707,
2022,41,201763689,
2022,41,201763693,
2022,32,201763692,
2022,41,201782916,
2022,41,201763701,
2022,41,201763711,
2022,41,201763713,
2022,42,201763751,
2022,42,201763715,
2022,37,201763732,
2022,41,201763730,
2022,41,197447899,
2022,41,201763738,
2022,41,197447900,
2022,41,201763896,
2022,38,197447901,
2022,32,197447904,
2022,41,197447906,
2022,41,201763897,
2022,41,197447905,
2022,41,201763737,
2022,42,197447907,
2022,41,201782081,
2022,41,197447911,
2022,41,197447908,
2022,41,197436419,
2022,1,197447917,
2022,42,197447921,
2022,41,197447920,
2022,41,197447924,
2022,42,197447922,
2022,41,197447923,
2022,41,201763807,
2022,1,197447930,
2022,42,197447931,
2022,31,197447932,
2022,42,201782915,
2022,41,201763834,
2022,42,201763835,
2022,41,201763837,
2022,42,201763838,
2022,41,201763839,
2022,42,201782563,
2022,41,197447952,
2022,41,197447953,
2022,41,197447959,
2022,41,201763970,
2022,42,197447961,
2022,41,197447960,
2022,41,201763974,
2022,41,201763945,
2022,41,197447974,
2022,41,201763950,
2022,41,201763951,
2022,41,197447981,
2022,9,201763977,
2022,41,201763979,
2022,41,197447985,
2022,41,201763952,
2022,41,201781622,
2022,41,201764064,
2022,41,201782206,
2022,41,201763999,
