data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,1,165830623,0.100,1,15128642
2022,12,165783174,1.000,1,15121907
2022,16,162491400,1.000,1,14667616
2022,16,165783195,3.000,9,15121909
2022,5,166670232,0.500,1,15251224
2022,16,162491409,17.000,1,14667617
2022,5,162491410,49.700,1,14667618
2022,8,162487212,1.000,1,14667232
2022,12,162491413,27.700,1,14667619
2022,12,162483762,8.000,1,14666528
2022,5,162491414,1.000,1,14667620
2022,12,162491416,37.700,1,14667621
2022,2,162491417,0.020,1,14667622
2022,8,162491365,3.900,1,14667606
2022,5,162491366,2.000,1,14667607
2022,16,162483764,1.500,1,14666529
2022,8,162491374,0.700,1,14667608
2022,16,162491376,19.800,1,14667609
2022,8,162487226,2.000,1,14667233
2022,12,162491392,0.400,1,14667610
2022,5,162491448,2.000,1,14667636
2022,12,166670232,46.400,1,15251225
2022,16,166670243,1.000,9,15251226
2022,12,162491453,0.020,1,14667637
2022,5,162487235,9.400,1,14667234
2022,8,162491454,1.000,1,14667638
2022,5,162491458,7.800,1,14667639
2022,8,162491459,1.000,1,14667640
2022,5,162491463,1.600,1,14667641
2022,12,162491466,1.000,1,14667642
2022,12,162491467,1.000,1,14667643
2022,12,162487238,6.400,1,14667235
2022,5,166670247,4.800,1,15251227
2022,1,166670269,1.100,1,15251228
2022,12,162487241,3.300,1,14667236
2022,12,162491470,7.600,1,14667644
2022,8,162491471,19.000,1,14667645
2022,2,162491473,1.000,1,14667646
2022,5,162491474,0.300,1,14667647
2022,12,162491476,84.100,1,14667648
2022,5,166670269,0.600,1,15251229
2022,1,166670311,0.001,1,15251230
2022,12,162491480,4.500,1,14667649
2022,12,162491481,0.100,1,14667650
2022,12,162491485,1.000,1,14667651
2022,16,162491499,11.000,1,14667652
2022,8,162491508,1.000,1,14667653
2022,5,162491512,8.100,1,14667654
2022,12,162491513,1.200,1,14667655
2022,12,162491514,4.100,1,14667656
2022,12,162491519,7.500,1,14667657
2022,5,166670311,3.000,1,15251231
2022,5,166670316,9.900,1,15251232
2022,8,162491524,3.000,1,14667658
2022,12,162491527,9.900,1,14667659
2022,12,166670331,0.500,1,15251233
2022,4,162487244,1.000,1,14667237
2022,5,166670333,22.400,1,15251234
2022,16,162491541,49.000,1,14667660
2022,5,166670352,5.400,1,15251235
2022,12,162491545,48.800,1,14667662
2022,12,162491546,7.900,1,14667663
2022,5,162491544,2.000,1,14667661
2022,5,162491547,6.900,1,14667664
2022,11,162491550,2.100,1,14667665
2022,8,162491553,1.600,1,14667666
2022,12,166670369,0.500,1,15251236
2022,11,162491563,5.500,1,14667667
2022,12,162491565,1.000,1,14667668
2022,5,162491568,2.000,1,14667669
2022,8,162491569,1.000,1,14667670
2022,12,162491571,1.300,1,14667671
2022,17,166669250,1.000,9,15251111
2022,12,162491576,1.000,1,14667672
2022,12,162491577,1.000,1,14667673
2022,17,162491578,2.000,1,14667674
2022,12,162491586,3.000,1,14667675
2022,12,162491588,1.000,1,14667676
2022,5,162491589,1.000,1,14667677
2022,5,162491592,9.700,1,14667679
2022,5,162491590,15.300,1,14667678
2022,12,162491599,0.010,1,14667680
2022,5,162491606,12.000,1,14667681
2022,8,162491607,1.000,9,14667682
2022,2,162491609,58.100,1,14667683
2022,12,162491614,1.000,1,14667684
2022,2,166669205,1.150,1,15251091
2022,5,162491619,7.000,1,14667686
