data_year,suspect_using_id,offense_id
2022,2,201782413
2022,4,201781795
2022,3,201849539
2022,3,201781855
2022,4,201781725
2022,4,201763830
2022,4,201849975
2022,4,201842878
2022,2,201850000
2022,4,197440010
2022,4,197440011
2022,4,201849972
2022,4,201849973
2022,4,201781717
2022,1,201763920
2022,3,201763920
2022,4,201782888
2022,4,197444263
2022,4,201849453
2022,4,197445252
2022,3,201785654
2022,3,201785655
2022,4,201763313
2022,4,197446081
2022,4,201763628
2022,4,201782661
2022,4,197446946
2022,4,197447072
2022,4,201842118
2022,4,201763745
2022,4,201763746
2022,4,201781732
2022,4,201781734
2022,4,201782614
2022,4,197447184
2022,4,201781851
2022,3,201849971
2022,1,197447188
2022,4,201781736
2022,1,201840451
2022,1,197447187
2022,4,197447189
2022,4,201763295
2022,4,197447192
2022,4,197447191
2022,4,197447193
2022,4,197436368
2022,4,201763297
2022,3,201849986
2022,4,201783196
2022,4,197447195
2022,4,201783197
2022,3,201849983
2022,3,201849984
2022,4,201763489
2022,4,197447196
2022,4,197436369
2022,1,197436370
2022,4,201763388
2022,4,201782945
2022,1,197447197
2022,3,197447197
2022,1,197447198
2022,3,197447198
2022,4,197447199
2022,4,201782947
2022,4,201782949
2022,3,201782950
2022,4,201782951
2022,4,201782958
2022,4,201782981
2022,4,201781809
2022,4,197447201
2022,4,197447202
2022,3,201849991
2022,3,201849992
2022,4,201842122
2022,4,197447203
2022,4,197447204
2022,1,197447205
2022,3,197447207
2022,3,197447208
2022,4,197447206
2022,3,197447211
2022,3,197447209
2022,3,197447210
2022,4,197447212
2022,4,197447215
2022,4,197447216
2022,4,197447217
2022,4,197447218
2022,4,201842123
2022,4,201782470
2022,3,201782979
2022,4,201782982
2022,4,201782375
2022,4,197441446
2022,4,197441447
2022,4,197447220
2022,4,201782978
2022,4,201842136
2022,4,201781739
2022,3,197447226
2022,4,197447222
2022,4,197447223
2022,3,197447224
2022,3,197447225
2022,4,201782940
2022,4,201782941
2022,3,201782943
2022,4,201782641
2022,4,201764005
2022,4,201764006
2022,4,201837679
2022,4,197447227
2022,4,197441450
2022,4,197441451
2022,4,197447234
2022,4,197447228
2022,4,201849995
2022,4,197447230
2022,4,197447232
2022,4,197441454
2022,4,201842151
2022,4,197441455
2022,4,197447233
2022,4,201846997
2022,4,197447239
2022,4,197447235
2022,4,197447236
2022,3,197447237
2022,3,197447238
2022,4,197447240
2022,3,197447242
2022,3,197447243
2022,4,197436372
2022,4,197447245
2022,4,197447246
2022,4,197447247
2022,4,197447249
2022,4,197447248
2022,4,197436373
2022,4,197447250
2022,3,197447251
2022,4,201781850
2022,4,201781810
2022,4,201783097
2022,4,201781874
2022,3,201782540
2022,4,201763386
2022,4,201763387
2022,4,201848033
2022,3,197447252
2022,4,197447253
2022,4,197447254
2022,4,197447255
2022,4,197447256
2022,4,197436375
2022,4,197436376
2022,4,197436374
2022,4,201783053
2022,3,201850644
2022,3,197447517
2022,3,197447518
2022,4,197447258
2022,4,201781811
2022,4,201783068
2022,3,201850636
2022,3,197447519
2022,4,197447259
2022,4,201763340
2022,4,201763385
2022,4,201782427
2022,3,201850633
2022,3,201850634
2022,3,201842133
2022,3,201850003
2022,4,201781812
2022,4,201782471
2022,1,201781813
2022,4,201850004
2022,1,201842129
2022,4,190985798
2022,4,201781741
2022,4,201763306
2022,4,201850651
2022,4,201781814
2022,4,201781815
2022,4,201782275
2022,4,201781816
2022,4,201763407
2022,4,201781875
2022,1,201782473
2022,3,201782473
2022,1,201782474
2022,3,201782474
2022,4,201763592
2022,3,201850703
2022,4,197447261
2022,4,197447260
2022,4,197447262
2022,1,197447263
2022,4,197447266
2022,4,197447269
2022,4,197447267
2022,4,197447270
2022,4,197447271
2022,4,197447272
2022,3,197447275
2022,3,197447276
2022,4,201781817
2022,4,201840244
2022,3,197447277
2022,3,197447273
2022,3,197447274
2022,4,197447278
2022,3,197436377
2022,3,197436378
2022,3,197447283
2022,3,197447284
2022,4,197447279
2022,4,197447280
2022,4,197447281
2022,4,197447282
2022,3,197447286
2022,3,197447287
2022,4,201781818
2022,4,201781743
2022,4,201781745
2022,3,201782335
2022,4,201763408
2022,4,201763410
2022,4,201782477
2022,4,201781843
2022,4,201781746
2022,4,201848041
2022,4,197447285
2022,4,197447288
2022,4,197436379
2022,4,197436380
2022,4,197447289
2022,4,197436381
2022,4,197447291
2022,4,197447290
2022,4,197447293
2022,1,197436382
2022,3,197436382
2022,4,197447292
2022,4,197436383
2022,4,197447294
2022,3,197447295
2022,3,197447296
2022,4,197447297
2022,4,197447298
2022,4,197447299
2022,4,197447300
2022,4,201848042
2022,4,201848043
2022,1,201782541
2022,4,201848047
2022,4,197447301
2022,4,197447302
2022,4,197447303
2022,4,197447304
2022,4,197447305
2022,4,197436384
2022,4,197436385
2022,1,197436386
2022,3,197436386
2022,4,197447306
2022,4,197447307
2022,4,197436387
2022,3,197447308
2022,3,197447309
2022,4,201781749
2022,4,201848621
2022,4,197447310
2022,4,197447311
2022,3,197447313
2022,3,197447314
2022,4,197447312
2022,4,197447317
2022,3,197447315
2022,3,197447316
2022,4,201783099
2022,4,197447318
2022,4,197447322
2022,4,201763339
2022,4,201783057
2022,4,201782193
2022,4,201763304
2022,4,201763305
2022,4,201843712
2022,4,197447321
2022,4,197447323
2022,4,197447324
2022,4,197447328
2022,4,197447325
2022,4,197447329
2022,4,197447327
2022,4,197447326
2022,4,197447330
2022,3,197447334
2022,3,197447331
2022,3,197447332
2022,3,197447333
2022,4,197447335
2022,4,197447336
2022,3,197447339
2022,3,197447340
2022,4,197447338
2022,4,197447337
2022,4,197447342
2022,4,197447343
2022,1,197447347
2022,3,197447347
2022,1,197447348
2022,3,197447348
2022,4,197447344
2022,4,197447345
2022,4,197447346
2022,4,197447349
2022,4,197447350
2022,4,197447351
2022,4,197447352
2022,4,197436390
2022,4,201781751
2022,4,201781913
2022,4,201848055
2022,4,201848056
2022,4,201782907
2022,3,201848095
2022,3,201848096
2022,3,201848097
2022,4,201763461
2022,4,201763411
2022,4,201782751
2022,4,201849517
2022,3,197447353
2022,3,197447354
2022,3,197436391
2022,3,197436392
2022,4,197447355
2022,4,197447356
2022,4,197447357
2022,3,197447358
2022,4,197447359
2022,4,197447360
2022,4,197447361
2022,4,197447362
2022,4,197447363
2022,4,197447364
2022,4,197441460
2022,4,197441461
2022,4,197447365
2022,4,197447369
2022,1,197447367
2022,4,197447366
2022,4,201849518
2022,4,201782259
2022,4,201781754
2022,1,201806223
2022,4,190986407
2022,4,197447368
2022,3,190986408
2022,3,190986409
2022,3,197447371
2022,4,197447373
2022,4,197447372
2022,4,197447374
2022,1,197447375
2022,4,197447376
2022,4,197447377
2022,4,197447378
2022,4,201781852
2022,4,201763460
2022,4,201781756
2022,4,201763702
2022,4,201763703
2022,4,201782315
2022,4,201763481
2022,4,201781759
2022,4,201781761
2022,4,201782189
2022,4,201782472
2022,4,201775140
2022,4,201763384
2022,4,201763852
2022,4,201783065
2022,4,201782476
2022,3,201781675
2022,4,197447431
2022,4,197447432
2022,3,201781676
2022,4,201782633
2022,4,201782256
2022,4,201781763
2022,4,201763747
2022,4,201781764
2022,4,201781765
2022,4,201763641
2022,3,201782390
2022,3,201782391
2022,1,201843708
2022,4,197447433
2022,4,197436395
2022,4,197447434
2022,4,201783050
2022,4,201783048
2022,4,201781768
2022,4,201763338
2022,4,201781819
2022,3,201782475
2022,4,201763482
2022,4,201763483
2022,3,201849503
2022,4,201764041
2022,4,201781769
2022,4,201781820
2022,4,201782260
2022,3,201763756
2022,3,201849476
2022,4,197447435
2022,4,197447436
2022,3,197447437
2022,3,197447438
2022,3,197447439
2022,3,197447440
2022,3,197447441
2022,3,201849477
2022,4,201781770
2022,3,201849465
2022,4,201763413
2022,4,201763337
2022,4,201763336
2022,4,201763334
2022,4,201763331
2022,4,201763329
2022,3,201849989
2022,3,201783297
2022,3,197447442
2022,4,197447443
2022,1,197447445
2022,4,197447446
2022,3,201783298
2022,4,197447444
2022,4,197447447
2022,4,201782208
2022,4,197447448
2022,4,197447449
2022,4,201782209
2022,4,197447450
2022,4,201763328
2022,4,197447451
2022,4,201781848
2022,3,197447452
2022,3,197447453
2022,4,201783064
2022,3,197447454
2022,3,197447455
2022,3,201782388
2022,1,197447456
2022,3,201782389
2022,4,201839163
2022,4,197447457
2022,4,197447458
2022,3,197441464
2022,3,197441465
2022,4,197447459
2022,4,197436396
2022,1,197447460
2022,4,197447462
2022,4,197447520
2022,4,197447521
2022,4,201839164
2022,4,201763591
2022,4,201763542
2022,4,201763327
2022,4,201783062
2022,4,201842167
2022,4,197447463
2022,3,197436397
2022,4,197447464
2022,4,197447465
2022,4,197436398
2022,4,197436399
2022,4,197436400
2022,4,197447466
2022,4,201781771
2022,4,201781881
