data_year,criminal_act_id,offense_id
2022,2,201782413
2022,5,201782413
2022,6,201782413
2022,6,201849539
2022,6,201849975
2022,9,201850000
2022,6,201849972
2022,6,201849973
2022,8,201763920
2022,6,201785654
2022,8,197440010
2022,6,201785655
2022,9,201763313
2022,3,197440011
2022,6,197440011
2022,9,201782661
2022,9,201842118
2022,6,201782614
2022,6,201849971
2022,9,201840451
2022,6,201849986
2022,9,201783196
2022,9,201783197
2022,6,201849983
2022,8,201849983
2022,6,201849984
2022,8,201849984
2022,6,201782949
2022,9,201782951
2022,9,201782958
2022,6,201849991
2022,6,201849992
2022,9,201782982
2022,9,201782375
2022,8,201782943
2022,6,201764005
2022,14,201764006
2022,2,201849995
2022,9,201783097
2022,6,201782540
2022,1,201763387
2022,8,201848033
2022,6,197447197
2022,6,197447198
2022,6,201850644
2022,3,197447207
2022,6,197447207
2022,6,197447208
2022,6,201850636
2022,6,197447211
2022,7,201763340
2022,6,201850633
2022,6,201850634
2022,6,201850003
2022,6,201850004
2022,6,197447209
2022,1,201781741
2022,6,201781741
2022,6,201850651
2022,6,197447210
2022,6,201782473
2022,8,201782473
2022,8,201782474
2022,6,201850703
2022,9,201840244
2022,6,201782335
2022,6,201848042
2022,8,197441446
2022,6,201848043
2022,5,201782541
2022,5,201783057
2022,9,201843712
2022,3,197441447
2022,9,201781913
2022,6,201848055
2022,8,201848096
2022,8,201848097
2022,9,201849517
2022,6,197441447
2022,6,197447226
2022,1,197447223
2022,14,201849518
2022,9,201775140
2022,6,197447224
2022,6,197447225
2022,6,201763384
2022,6,201781675
2022,6,201781676
2022,9,201782256
2022,6,201782390
2022,6,201782391
2022,3,201783050
2022,3,201782475
2022,3,197441450
2022,6,201849503
2022,14,201764041
2022,3,201763756
2022,6,201763756
2022,7,201763756
2022,6,201849476
2022,6,201849465
2022,8,201763337
2022,8,201763336
2022,8,201763334
2022,8,201763331
2022,8,201763329
2022,3,201849989
2022,8,201783297
2022,8,201783298
2022,2,201763328
2022,3,201782388
2022,6,201782388
2022,7,201782388
2022,3,201782389
2022,6,201782389
2022,7,201782389
2022,9,201781881
2022,6,197441450
2022,8,197441451
2022,8,201763325
2022,5,201763634
2022,8,201763324
2022,8,201763381
2022,8,201763380
2022,9,201781926
2022,8,197441454
2022,3,197441455
2022,9,201782007
2022,9,201843704
2022,6,197441455
2022,3,197447235
2022,9,201782065
2022,3,197447236
2022,6,197447237
2022,6,201783309
2022,9,201782067
2022,9,201843724
2022,8,201783312
2022,9,201843193
2022,1,197447238
2022,3,197447238
2022,6,197447238
2022,6,201782192
2022,9,201848432
2022,6,201763757
2022,3,201763758
2022,6,201763758
2022,7,201763758
2022,9,201782394
2022,12,201764003
2022,9,201783256
2022,9,201782069
2022,14,201764007
2022,9,201784419
2022,6,197447242
2022,9,201782071
2022,6,201843695
2022,9,201848895
2022,6,201837771
2022,6,197447243
2022,6,197447251
2022,6,201763934
2022,6,201763935
2022,9,201763846
2022,6,201848880
2022,9,201763292
2022,9,201783285
2022,8,201783066
2022,8,201763291
2022,6,201763694
2022,9,201763662
2022,9,201763296
2022,6,197447252
2022,6,197447255
2022,6,197447256
2022,9,201783245
2022,6,201763272
2022,9,201848104
2022,3,201763441
2022,7,201763441
2022,8,201763441
2022,6,201763276
2022,6,201763672
2022,6,201763298
2022,6,201763299
2022,6,201763300
2022,9,201763911
2022,8,201763277
2022,8,201763278
2022,6,201763907
2022,9,201763916
2022,6,201763913
2022,6,201763302
2022,6,201763303
2022,6,201763307
2022,6,201763308
2022,9,201763908
2022,9,201763310
2022,9,201763283
2022,9,201763466
2022,9,201763282
2022,6,201763319
2022,6,201763320
2022,9,201763346
2022,8,201782836
2022,8,201782837
2022,9,201763373
2022,6,201780444
2022,9,201763444
2022,9,201847836
2022,8,201763323
2022,9,201763376
2022,9,201782211
2022,8,201763350
2022,8,201763351
2022,9,201763397
2022,9,201763366
2022,9,201781677
2022,9,201763369
2022,9,201763374
2022,9,201782368
2022,6,201782369
2022,6,201763416
2022,8,201763399
2022,9,201763378
2022,9,201763684
2022,8,201763379
2022,9,201763425
2022,5,201763458
2022,9,201763420
2022,9,201763448
2022,9,201763451
2022,9,201763433
2022,6,201763661
2022,9,201763436
2022,9,201763438
2022,6,197436376
2022,9,201763468
2022,9,201763578
