data_year,victim_id,injury_id
2022,187388464,4
2022,183085347,5
2022,187407262,5
2022,183085567,5
2022,183085566,4
2022,183085568,4
2022,187466438,5
2022,183085570,5
2022,183085576,5
2022,183085577,5
2022,183075576,5
2022,183075577,5
2022,187464712,5
2022,183085581,5
2022,183085583,4
2022,183085585,4
2022,183085586,5
2022,183085590,4
2022,183085600,5
2022,183085610,5
2022,183075579,4
2022,183085619,5
2022,183085621,5
2022,183085622,5
2022,187407786,5
2022,187407787,5
2022,187407546,5
2022,183085631,5
2022,183085632,5
2022,183085633,5
2022,183085638,5
2022,183085641,5
2022,183085652,4
2022,183075586,5
2022,183075588,5
2022,183075589,5
2022,183085657,5
2022,183085659,5
2022,183085660,5
2022,183085661,5
2022,183085663,5
2022,183085666,4
2022,183085667,5
2022,183075590,5
2022,183075591,5
2022,183085673,4
2022,183085674,4
2022,183085685,5
2022,183085686,5
2022,187407552,4
2022,187407574,5
2022,183085690,5
2022,183085687,5
2022,183085691,1
2022,183085691,2
2022,183085688,5
2022,183085699,5
2022,183085698,5
2022,183085704,5
2022,183085705,5
2022,183085710,5
2022,183075596,5
2022,183075597,5
2022,183085713,5
2022,183085717,5
2022,183085718,5
2022,183085727,4
2022,183085723,5
2022,183085724,5
2022,187406989,6
2022,176645612,5
2022,183085731,4
2022,183085732,5
2022,183085733,5
2022,183085734,5
2022,187407685,4
2022,183085788,5
2022,183085789,5
2022,183085790,5
2022,183085796,5
2022,183085797,5
2022,183085800,4
2022,183085805,5
2022,183085806,4
2022,183085807,5
2022,183085808,5
2022,183075601,4
2022,183085809,4
2022,183085811,5
2022,183085814,5
2022,183085815,5
2022,183085819,4
2022,183085821,5
2022,183085824,5
2022,187464517,5
2022,183085825,5
2022,183080130,5
2022,183085737,5
2022,183085741,5
2022,183085743,5
2022,183085747,4
2022,183085748,5
2022,183085753,5
2022,183085756,5
2022,183085757,5
2022,183085758,5
2022,183085759,4
2022,183085761,4
2022,183085762,5
2022,183085765,4
2022,176645574,5
2022,183085771,5
2022,183085779,5
2022,183085780,5
2022,183085782,5
2022,183085854,5
2022,183089103,4
2022,183085861,5
2022,183089105,4
2022,183085862,4
2022,183085868,5
2022,183085869,5
2022,183085877,5
2022,183085878,5
2022,183085885,4
2022,183085887,5
2022,183085886,4
2022,183089106,4
2022,183085891,5
2022,183085892,4
2022,183085893,5
2022,183085896,5
2022,183085900,5
2022,183085905,5
2022,183085907,4
2022,183085908,3
2022,183085915,5
2022,183085917,5
2022,187468003,5
2022,183085918,5
2022,183085926,5
2022,183085928,4
2022,183085931,5
2022,183085937,5
2022,183085938,4
2022,183085949,5
2022,183085955,4
2022,183085959,5
2022,183085962,4
2022,183085960,5
2022,183075612,5
2022,187406539,5
2022,187473838,6
2022,183085966,4
2022,183085971,5
2022,183085970,5
2022,183085975,5
2022,183085976,4
2022,187399855,5
2022,176644230,5
2022,187406870,5
2022,183085992,5
2022,183085993,5
2022,187406507,5
2022,183085996,4
2022,183085997,4
2022,183085999,5
2022,183086001,5
2022,183086002,4
2022,183086003,5
2022,183086004,5
2022,183087942,5
2022,183087943,5
2022,183086012,5
2022,183086015,4
2022,183086016,5
2022,183086022,5
2022,183086024,5
2022,183086025,3
2022,183086028,5
2022,183086026,5
2022,183086027,5
2022,183086029,4
2022,183086032,4
2022,183086031,5
2022,183086042,5
2022,187406552,5
2022,183086043,5
2022,187406632,5
2022,187467996,5
2022,183086050,4
2022,183086052,4
2022,183086054,3
2022,183086053,5
2022,183086056,5
2022,183086060,4
2022,183086066,5
2022,183088021,5
2022,183086068,5
2022,183086070,4
2022,183086069,5
2022,187406690,5
2022,183086074,5
2022,187406692,4
2022,183086076,4
2022,183086083,5
2022,187468014,5
2022,187467485,5
2022,183086098,5
2022,183075617,5
2022,183075618,5
2022,183086100,5
2022,183086101,5
2022,183086103,4
2022,183086104,5
2022,183086113,3
2022,183086114,5
2022,183086115,4
2022,187467486,5
2022,187472764,5
2022,183086117,4
2022,187407004,5
2022,187406694,4
2022,187408989,5
2022,183086122,3
2022,187406696,5
2022,187473253,4
2022,187388978,4
2022,187388445,6
2022,183086129,5
2022,183086130,5
2022,187407873,3
2022,187388796,4
2022,183086135,4
2022,183086136,5
2022,183086137,4
2022,183086138,5
2022,187388450,3
2022,183086140,5
2022,183086141,5
2022,187388450,6
2022,187407837,5
2022,183086149,5
2022,187472424,3
2022,187389043,5
2022,187389049,5
2022,187389040,5
2022,187388460,5
2022,187388437,4
2022,187388607,3
2022,187388436,4
2022,187388495,4
2022,187388521,4
2022,187388589,5
2022,183086148,5
2022,183086150,4
2022,183086151,4
2022,183086152,4
2022,183086158,5
2022,183086165,5
2022,183086168,5
2022,183086169,5
2022,183086173,5
2022,183086176,4
2022,183086179,5
2022,187472147,4
2022,183086181,4
2022,183086182,5
2022,183086183,5
2022,183086184,5
2022,183086185,5
2022,183086188,5
2022,183086190,5
2022,187388524,4
2022,187406826,5
2022,187388544,5
2022,187388514,4
2022,187406293,2
2022,187388517,4
2022,187388522,4
2022,187406983,5
2022,187388525,5
2022,187388819,4
2022,187388570,4
2022,187388565,5
2022,187388593,5
2022,187388595,4
2022,187388578,5
2022,187388580,4
2022,187388582,5
2022,187388609,4
2022,187388716,5
2022,187388630,4
2022,187388641,5
2022,187388668,5
2022,187388643,4
2022,187388644,4
2022,187388687,4
2022,187388689,4
2022,187388690,5
2022,187388694,5
2022,187388696,5
2022,187388814,5
2022,187388806,4
2022,187388720,5
2022,187388730,5
2022,187388731,5
2022,187388781,4
2022,187388988,5
2022,187388782,5
2022,187388863,5
2022,187406812,5
2022,187388794,4
2022,187388799,1
2022,187388986,3
2022,187388810,4
2022,187388811,5
2022,187388812,4
2022,187388818,5
2022,187388843,5
2022,187388823,4
2022,187388826,4
2022,187388825,4
2022,187407514,4
2022,183086189,5
2022,183086191,5
2022,187388836,4
2022,187388848,4
2022,183086194,5
2022,183086195,5
2022,183086192,5
2022,187388849,5
2022,187388883,5
2022,187388851,5
2022,187388867,4
2022,187388866,4
2022,187388871,4
2022,187389028,5
2022,187389029,4
2022,187388870,4
2022,187406705,4
2022,187388938,4
2022,183075620,5
2022,183086202,5
2022,183086201,5
2022,183086205,5
2022,187407513,5
2022,187388967,4
2022,187388968,5
2022,187388970,5
2022,187388971,5
2022,187388972,4
2022,187407167,5
2022,187407168,5
2022,187389100,5
2022,187389101,5
2022,187389103,2
2022,187389076,5
2022,187389079,5
2022,187389080,5
2022,187389108,4
2022,187389081,5
2022,187406239,5
2022,187389183,4
2022,187406822,4
2022,187389130,4
2022,187389113,4
2022,187389117,5
2022,187407496,5
2022,187389179,4
2022,187399152,5
2022,187389199,5
2022,187406706,4
2022,187399269,4
2022,187392756,4
2022,183086203,5
2022,187399342,4
2022,183086204,1
2022,187392586,4
2022,187391081,5
2022,183086209,5
2022,187391005,5
2022,187400966,5
2022,187407885,5
2022,183086210,5
2022,187398258,4
2022,187404198,4
2022,187400131,4
2022,187407090,4
2022,187406496,5
2022,187407094,5
2022,187401051,4
2022,187402576,4
2022,187406342,5
2022,187405950,4
2022,187406305,5
2022,187406294,5
2022,187406296,5
2022,187406298,4
2022,187406341,5
2022,187407333,5
2022,187406404,5
2022,187406561,3
2022,187407587,5
2022,187407601,5
2022,187406503,4
2022,187406520,5
2022,187470207,5
2022,183086211,5
2022,183086212,5
2022,183086226,5
2022,183086227,4
2022,183086234,4
2022,183086236,5
2022,183086235,4
2022,187470208,5
2022,187407603,5
2022,187407604,5
2022,187406508,5
2022,187406545,4
2022,187470209,5
2022,183086244,5
2022,183086249,5
2022,183086252,5
2022,187407169,5
2022,183086253,5
2022,183086257,4
2022,183086258,5
2022,187470213,4
2022,183086261,5
2022,183086264,4
2022,183086262,5
2022,183086263,5
2022,187470214,5
2022,187406988,5
2022,187406537,5
2022,187406680,5
2022,187406573,6
2022,183086268,5
2022,183080161,4
2022,183086273,5
2022,183086274,5
2022,183086275,5
2022,187470223,5
2022,183086276,5
2022,183086285,5
2022,187470225,5
2022,187406557,5
2022,187406558,4
2022,187467991,5
2022,187406554,5
2022,187470308,5
2022,183086291,5
2022,183086292,5
2022,183086301,5
2022,183086303,3
2022,183086304,5
2022,183086307,5
2022,183086308,5
2022,183086309,5
2022,183086311,4
2022,187406562,5
2022,187406627,4
2022,187406574,4
2022,187470638,5
2022,183088262,5
2022,183086317,5
2022,183086318,4
2022,187406596,4
2022,183086323,5
2022,183086324,4
2022,187406645,2
2022,187406645,6
2022,187406645,8
2022,187406593,5
2022,187406595,4
2022,183086326,5
2022,187406662,4
2022,187406681,4
2022,187406682,5
2022,183086343,5
2022,187406685,5
2022,187406711,4
2022,187468024,5
2022,187470683,4
2022,183086352,4
2022,183086353,5
2022,187470684,4
2022,187470692,8
2022,187406717,4
2022,183086356,5
2022,183086364,5
2022,183086367,5
2022,183086372,4
2022,183086385,5
2022,183086386,4
2022,183086389,5
2022,183086388,5
2022,183086390,4
2022,187406721,4
2022,183086399,5
2022,183086401,5
2022,183086402,5
2022,187406883,4
2022,187467984,5
2022,187467985,5
2022,187406720,5
2022,187406724,5
2022,187406730,4
2022,187406737,3
2022,187406748,4
2022,187406864,1
